link_id,record_id,cluster_id,paper_id,doi,entity_id,entity_type,molecule_id,preferred_name,matched_alias,match_start,match_end,match_basis,link_confidence,link_scope,ambiguity_status,link_status,resolved_canonical_smiles,resolved_inchikey,resolved_molecular_formula,identity_resolution_tier,identity_resolution_status,identity_resolution_source
ELINK-27117ef6fd31b8ff3c,UKB-7d4a35fbb759759d5f80,,ZPC-001953,10.1038/s41598-017-17391-1,MOL-1cf7a6e2aeef,existing_molecule,MOL-1cf7a6e2aeef,DETC,DETC,526,530,exact_alias_in_evidence_anchor,global_name_exact_candidate,global_exact_name,unique_exact_span,candidate_identity_link_not_source_structure_confirmation,,,,,,
ELINK-1bd83716c85a6ba5e8,UKB-7d4a35fbb759759d5f80,,ZPC-001953,10.1038/s41598-017-17391-1,MOL-1cf7a6e2aeef,existing_molecule,MOL-1cf7a6e2aeef,DETC,DETC,595,599,exact_alias_in_evidence_anchor,global_name_exact_candidate,global_exact_name,unique_exact_span,candidate_identity_link_not_source_structure_confirmation,,,,,,
ELINK-4a9c1f53b5d7286789,UKB-7d4a35fbb759759d5f80,,ZPC-001953,10.1038/s41598-017-17391-1,SRCENT-c24b5a945cddfaa9cf,source_local_unresolved,,PI 2,PI 2,402,413,source_local_PI_label_pattern,source_local_label_candidate,single_source_only,identity_unresolved,unresolved_entity_link,,,,,,
ELINK-5550d151a550525669,UKB-7d751af0f49357734330,CONDCL-256ea1bbfa67ba6e15,ZPC-000031,10.1021/acs.macromol.7b00089,MOL-447f4048c58a,existing_molecule,MOL-447f4048c58a,OXE02,OXE02,450,455,exact_alias_in_evidence_anchor,global_name_exact_candidate,global_exact_name,unique_exact_span,candidate_identity_link_not_source_structure_confirmation,,,,,,
ELINK-754714ee8f5b867f7c,UKB-7d751af0f49357734330,CONDCL-256ea1bbfa67ba6e15,ZPC-000031,10.1021/acs.macromol.7b00089,SRCENT-90e15f63df794f3e59,source_local_unresolved,,OXE01,OXE01,467,472,source_local_PI_label_pattern,accepted_source_local_identity_link,single_source_only,identity_unresolved,source_local_identity_link_accepted,CCCCCC/C(=N\OC(=O)c1ccccc1)C(=O)c1ccc(Sc2ccccc2)cc1,LOCXTTRLSIDGPS-AZPGRJICSA-N,C27H27NO3S,A_auto,automatic_closed_repeated_strict_panel_structure,repeated_strict_source_panels
ELINK-87350a1838a75b7093,UKB-7d751af0f49357734330,CONDCL-256ea1bbfa67ba6e15,ZPC-000031,10.1021/acs.macromol.7b00089,SRCENT-90e15f63df794f3e59,source_local_unresolved,,OXE01,OXE01,564,569,source_local_PI_label_pattern,accepted_source_local_identity_link,single_source_only,identity_unresolved,source_local_identity_link_accepted,CCCCCC/C(=N\OC(=O)c1ccccc1)C(=O)c1ccc(Sc2ccccc2)cc1,LOCXTTRLSIDGPS-AZPGRJICSA-N,C27H27NO3S,A_auto,automatic_closed_repeated_strict_panel_structure,repeated_strict_source_panels
ELINK-f4723a41732f065316,UKB-7d751af0f49357734330,CONDCL-256ea1bbfa67ba6e15,ZPC-000031,10.1021/acs.macromol.7b00089,SRCENT-90e15f63df794f3e59,source_local_unresolved,,OXE01,OXE01,806,811,source_local_PI_label_pattern,accepted_source_local_identity_link,single_source_only,identity_unresolved,source_local_identity_link_accepted,CCCCCC/C(=N\OC(=O)c1ccccc1)C(=O)c1ccc(Sc2ccccc2)cc1,LOCXTTRLSIDGPS-AZPGRJICSA-N,C27H27NO3S,A_auto,automatic_closed_repeated_strict_panel_structure,repeated_strict_source_panels
ELINK-e3a9cbac627cc11cfa,UKB-7de5b7be89534da03d6f,CONDCL-1f3ec8b3a6f4844862,ZPC-005610,10.1016/j.porgcoat.2019.02.044,MOL-29e7e7bf910a,existing_molecule,MOL-29e7e7bf910a,TMPTA,TMPTA,180,185,exact_alias_in_evidence_anchor,global_name_exact_candidate,global_exact_name,unique_exact_span,candidate_identity_link_not_source_structure_confirmation,,,,,,
ELINK-4e3a4c30727b4f3a76,UKB-7de5b7be89534da03d6f,CONDCL-1f3ec8b3a6f4844862,ZPC-005610,10.1016/j.porgcoat.2019.02.044,MOL-29e7e7bf910a,existing_molecule,MOL-29e7e7bf910a,TMPTA,TMPTA,210,215,exact_alias_in_evidence_anchor,global_name_exact_candidate,global_exact_name,unique_exact_span,candidate_identity_link_not_source_structure_confirmation,,,,,,
ELINK-dad14f95893acd0eb5,UKB-7de5b7be89534da03d6f,CONDCL-1f3ec8b3a6f4844862,ZPC-005610,10.1016/j.porgcoat.2019.02.044,MOL-29e7e7bf910a,existing_molecule,MOL-29e7e7bf910a,TMPTA,TMPTA,221,226,exact_alias_in_evidence_anchor,global_name_exact_candidate,global_exact_name,unique_exact_span,candidate_identity_link_not_source_structure_confirmation,,,,,,
ELINK-c3b7c31e40995eb933,UKB-7de5b7be89534da03d6f,CONDCL-1f3ec8b3a6f4844862,ZPC-005610,10.1016/j.porgcoat.2019.02.044,MOL-29e7e7bf910a,existing_molecule,MOL-29e7e7bf910a,TMPTA,TMPTA,54,59,exact_alias_in_evidence_anchor,global_name_exact_candidate,global_exact_name,unique_exact_span,candidate_identity_link_not_source_structure_confirmation,,,,,,
ELINK-256c0ef96e733d9ec4,UKB-7de5b7be89534da03d6f,CONDCL-1f3ec8b3a6f4844862,ZPC-005610,10.1016/j.porgcoat.2019.02.044,MOL-29e7e7bf910a,existing_molecule,MOL-29e7e7bf910a,TMPTA,TMPTA,606,611,exact_alias_in_evidence_anchor,global_name_exact_candidate,global_exact_name,unique_exact_span,candidate_identity_link_not_source_structure_confirmation,,,,,,
ELINK-21547ef7e459aabb4c,UKB-7de5b7be89534da03d6f,CONDCL-1f3ec8b3a6f4844862,ZPC-005610,10.1016/j.porgcoat.2019.02.044,MOL-29e7e7bf910a,existing_molecule,MOL-29e7e7bf910a,TMPTA,TMPTA,725,730,exact_alias_in_evidence_anchor,global_name_exact_candidate,global_exact_name,unique_exact_span,candidate_identity_link_not_source_structure_confirmation,,,,,,
ELINK-2a03cb7b76b660417d,UKB-7de5b7be89534da03d6f,CONDCL-1f3ec8b3a6f4844862,ZPC-005610,10.1016/j.porgcoat.2019.02.044,MOL-29e7e7bf910a,existing_molecule,MOL-29e7e7bf910a,TMPTA,TMPTA,771,776,exact_alias_in_evidence_anchor,global_name_exact_candidate,global_exact_name,unique_exact_span,candidate_identity_link_not_source_structure_confirmation,,,,,,
ELINK-f5c6b84349a170f3b4,UKB-7e699f620d7b7b66c379,,ZPC-000049,10.1039/d4sc03527e,MOL-1cf7a6e2aeef,existing_molecule,MOL-1cf7a6e2aeef,DETC,DETC,264,268,exact_alias_in_evidence_anchor,global_name_exact_candidate,global_exact_name,unique_exact_span,candidate_identity_link_not_source_structure_confirmation,,,,,,
