alias_id,molecule_id,preferred_name,alias,normalized_alias,match_scope,source_dois,source_ids,molecule_role,identity_status,identity_scope,smiles,stored_inchikey,computed_inchikey,structure_validation,case_sensitive,alias_status
ALIAS-7f6299ebac17c0706b,MOL-cac56d384c4a,Oct (paper-defined three-branched oligo(phenyleneethynylene) PI),Oct,oct,source_scoped,10.1021/acs.macromol.0c01518,ZPC-004425; zotero_SRU6DZHE,photoinitiator_or_photosensitizer,structure_linked,global_name_key,CCCCCCN(CCCCCC)c1ccc(C#Cc2ccc(C#Cc3cc(C#Cc4ccc(C#Cc5ccc(N(CCCCCC)CCCCCC)cc5)cc4)cc(C#Cc4ccc(C#Cc5ccc(N(CCCCCC)CCCCCC)cc5)cc4)c3)cc2)cc1,CEUACSVYVMTHLZ-UHFFFAOYSA-N,CEUACSVYVMTHLZ-UHFFFAOYSA-N,rdkit_sanitized,true,eligible_exact_alias
ALIAS-e8dcacce4d5bf45fc9,MOL-cb6fa95f78d1,LN1,LN1,ln1,source_scoped,10.1002/adfm.200400212,zotero_TSTS6L69,resin_or_matrix,explicit_field,global_name_key,,,,not_available,true,eligible_exact_alias
ALIAS-054909282df1de2f02,MOL-d0372dd25f52,Pol I-184,Pol I-184,poli184,global_exact_name,10.1088/1758-5082/3/2/025003,zotero_X4RTKEJL,photoinitiator_or_photosensitizer,anchor_mined,global_name_key,,,,not_available,false,eligible_exact_alias
ALIAS-4b8747159813d81b6b,MOL-d25f55a6664a,SCR-500,SCR-500,scr500,global_exact_name,10.1364/ol.22.000132,zotero_S7XPYQQM,resin_or_matrix,explicit_field,global_name_key,,,,not_available,false,eligible_exact_alias
ALIAS-431be6d146935d7f89,MOL-d95a9a7469b9,AIBN,AIBN,aibn,global_exact_name,10.1021/acs.macromol.0c01518,zotero_SRU6DZHE,photoinitiator_or_photosensitizer,anchor_mined,global_name_key,,,,not_available,true,eligible_exact_alias
ALIAS-db95bf3ebbb94a3732,MOL-dab380d0f94c,2-isopropyl-7-(thiophen-2-yl)-9H-thioxanthen-9-one,2-isopropyl-7-(thiophen-2-yl)-9H-thioxanthen-9-one,2isopropyl7thiophen2yl9hthioxanthen9one,global_exact_name,10.1021/acsapm.0c01291,ZPC-000605,photoinitiator_or_photosensitizer,structure_linked,global_name_key,CC(C)c1ccc2sc3ccc(-c4cccs4)cc3c(=O)c2c1,NUSAXPINXHBZIE-UHFFFAOYSA-N,NUSAXPINXHBZIE-UHFFFAOYSA-N,rdkit_sanitized,false,eligible_exact_alias
ALIAS-d32d4603313e4805af,MOL-dab380d0f94c,2-isopropyl-7-(thiophen-2-yl)-9H-thioxanthen-9-one,ITX-thiophene,itxthiophene,global_exact_name,10.1021/acsapm.0c01291,ZPC-000605,photoinitiator_or_photosensitizer,structure_linked,global_name_key,CC(C)c1ccc2sc3ccc(-c4cccs4)cc3c(=O)c2c1,NUSAXPINXHBZIE-UHFFFAOYSA-N,NUSAXPINXHBZIE-UHFFFAOYSA-N,rdkit_sanitized,false,eligible_exact_alias
ALIAS-e1ac21fc2b59354cdb,MOL-dbfa472730f2,TEA,TEA,tea,source_scoped,10.1016/j.eurpolymj.2020.110209,zotero_A7T5Q7PK,coinitiator_or_h_donor,anchor_mined,global_name_key,,,,not_available,true,eligible_exact_alias
ALIAS-63a1e627ef9133f044,MOL-dd8c738af57a,B3K/P3K/M3K family,B3K/P3K/M3K family,b3kp3km3kfamily,source_scoped,10.1021/ma9007785,ZPC-000028,photoinitiator_or_photosensitizer,structured_pi_label,global_name_key,,,,not_available,false,eligible_exact_alias
ALIAS-3962bcbd6fe517e44e,MOL-e5700d36b407,Benzil-Di-Methyl-Ketal (BDMK,Benzil-Di-Methyl-Ketal (BDMK,benzildimethylketalbdmk,global_exact_name,10.1364/oe.6.000064,zotero_RK5TXPZ5,photoinitiator_or_photosensitizer,explicit_field,global_name_key,,,,not_available,false,eligible_exact_alias
ALIAS-7b1c771c8b89809192,MOL-e697e0fd38cd,"4,4′-bis(diethylamino)benzophenone (DABP","4,4'-bis(diethylamino)benzophenone (DABP",44bisdiethylaminobenzophenonedabp,global_exact_name,10.1021/la803803m,zotero_H86SV53N,photoinitiator_or_photosensitizer,explicit_field,global_name_key,,,,not_available,false,eligible_exact_alias
